#{"t_start": 1638944311.53081, "env_id": "Rummy-v0"}
r,l,t
0.287879,33,2.720888
0,30,2.748498
51.159091,37,2.78204
0.719697,30,2.80968
0,30,2.837468
0,32,2.866765
0.106061,35,2.898686
0,5,2.903399
0.545455,32,2.933101
0.136364,34,2.964792
0.113636,29,2.991907
51.416667,19,3.009445
0.045455,32,3.039603
0.472222,31,3.068697
50.621212,8,3.076244
52.590909,36,3.109336
0.060606,31,3.137714
0.083333,34,3.16966
0,31,3.197751
0.121212,34,3.229053
0.113636,40,3.265525
52.265152,31,3.294734
0,26,3.318399
51.651515,30,3.345902
0.386364,29,3.372312
0,33,3.402076
0.181818,33,3.431987
0.242424,32,3.462164
0.174242,31,3.491486
0.272727,31,3.519614
50.277778,5,3.524205
0.106061,32,3.553867
50.098485,3,3.55679
1.343434,37,3.590599
0.777778,37,3.624472
0.272727,33,3.655318
54.131313,35,3.687016
0,26,3.71026
51.136364,34,3.740826
0.325758,34,3.772568
0.010101,33,3.802305
0.136364,31,3.830125
51.606061,31,3.859362
0.272727,34,3.889968
0.151515,31,3.918338
0,34,3.949494
50.530303,28,3.975363
0,33,4.005651
52.510101,33,4.035907
0.681818,31,4.064384
0.068182,30,4.091822
0.719697,32,4.122179
50.085859,11,4.132229
0,37,4.165372
52.628788,32,4.194141
0.090909,27,4.218351
0.181818,29,4.244957
0.583333,33,4.275585
0.045455,12,4.286567
51.356061,21,4.305439
0,33,4.335567
0,33,4.365694
0.477273,31,4.394794
0,35,4.426728
0.989899,29,4.453517
0.340909,31,4.482813
50.219697,6,4.488417
1.242424,36,4.522722
50.60101,30,4.550509
52.507576,24,4.57275
0.242424,36,5.686769
0.015152,25,5.709982
0,32,5.739536
51.628788,35,5.771426
0.090909,32,5.80079
0.10101,26,5.824582
0,34,5.855561
1.045455,29,5.883175
0.757576,33,5.913933
50.962121,34,5.945924
1.340909,39,5.982744
50.25,34,6.01428
0.010101,32,6.045082
0.356061,36,6.078599
0.333333,33,6.109133
0,37,6.143935
1.035354,33,6.1743
0,31,6.203696
0,27,6.228374
52.590909,33,6.258283
0.090909,32,6.287792
51.734848,27,6.312663
0.042929,34,6.344252
51.310606,27,6.370031
0,28,6.395776
0.825758,34,6.426933
0.679293,32,6.457648
50.121212,38,6.494838
0,37,6.529097
0,33,6.559969
0.151515,33,6.591874
0,39,6.628295
0.545455,28,6.65524
0.174242,30,6.68298
0.30303,27,6.707874
0,38,6.742884
0.421717,35,6.776543
0.09596,28,6.802576
0,34,6.833885
52.790404,34,6.865325
0,34,6.896756
52.64899,39,6.935251
0.174242,32,6.965611
0,37,7.000845
1.025253,31,7.03019
0.487374,31,7.060167
1.583333,27,7.087763
0,33,7.11923
0.037879,34,7.151341
0.454545,32,7.181389
0.227273,42,7.220658
0.515152,31,7.249512
0.151515,30,7.277071
0.967172,30,7.305613
0.030303,40,7.342248
0,31,7.371112
0,34,7.402532
0.242424,29,7.429361
50.176768,32,7.458855
0.083333,30,7.486537
1.59596,35,7.519175
51.507576,30,7.54758
1.484848,34,8.665535
0.030303,35,8.697776
0.424242,33,8.728226
0.045455,32,8.757492
0.527778,30,8.785266
0.636364,36,8.81871
0.65404,36,8.852298
50.393939,15,8.866862
0,34,8.898134
0.712121,32,8.927935
0.030303,38,8.963114
0.113636,43,9.00258
0,33,9.03388
0.045455,32,9.063622
2.681818,42,9.102273
0,47,9.151916
0,37,9.187219
0.833333,32,9.216736
0.045455,34,9.248482
0,29,9.275047
0.272727,39,9.310945
0.810606,37,9.345062
0.280303,34,9.37633
0.015152,32,9.40614
0,35,9.437881
0.121212,34,9.469051
0.151515,38,9.503788
50.80303,34,9.53633
0.742424,29,9.562742
50.80303,34,9.594001
1.214646,31,9.622098
3.489899,36,9.655109
0.015152,28,9.680502
0.623737,35,9.712544
0,36,9.746845
0.348485,27,9.771381
0.969697,31,9.800051
0,36,9.833037
0,34,9.865223
0,30,9.892842
0.143939,29,9.920823
0.151515,35,9.953616
1.371212,35,9.986395
0,33,10.017131
0.265152,36,10.050778
0,26,10.074836
1.540404,31,10.103442
0,34,10.134864
0,33,10.165018
0.090909,26,10.188962
0,32,10.218219
1.55303,37,10.251811
0.545455,31,10.280135
51.825758,31,10.30852
0.272727,40,10.346419
0.424242,29,10.373638
0.424242,34,10.406003
0.227273,32,10.435482
0.171717,36,10.468625
53.325758,33,10.498906
50.133838,32,10.529068
0,33,10.560115
0,29,11.659049
0,37,11.69292
50.573232,38,11.727594
50.358586,37,11.762345
0,39,11.797971
1.825758,30,11.825586
2.242424,31,11.854301
0.030303,36,11.886905
2.30303,33,11.91727
50.128788,35,11.950995
0.515152,30,11.978767
0.628788,35,12.011032
1.393939,33,12.04166
0.022727,30,12.069722
1.818182,40,12.106534
0.012626,38,12.142366
0,33,12.172864
0.189394,35,12.20509
51.441919,34,12.236282
0.484848,37,12.270127
0.712121,35,12.302687
51.565657,34,12.333683
53.328283,35,12.366172
51.580808,36,12.399353
0.590909,35,12.431343
0.217172,37,12.465947
50.631313,31,12.494369
0.106061,30,12.521705
1.813131,37,12.555936
0.113636,33,12.586716
0,38,12.621732
0.138889,37,12.65646
0,5,12.661219
51.060606,35,12.692972
0.065657,31,12.721494
0,32,12.751076
1.083333,34,12.782558
0.977273,32,12.812199
0.106061,32,12.841589
0,36,12.876156
1.742424,36,12.90914
0,30,12.938035
52.300505,33,12.968868
0,39,13.004852
0.106061,31,13.033869
0.068182,35,13.06638
0.181818,35,13.098552
50.106061,30,13.126812
50.535354,35,13.159675
0.393939,27,13.184312
0.590909,30,13.21169
51.522727,34,13.244246
0.818182,32,13.273794
51.5,34,13.305273
50.89899,33,13.335598
52.858586,31,13.364649
0.159091,40,13.40112
51.191919,33,13.432607
0.704545,32,13.462245
0,34,13.494492
0.727273,32,13.52421
0.037879,34,14.617027
0.666667,39,14.653172
0.383838,36,14.694894
0,27,14.719827
0.141414,33,14.750437
53.64899,33,14.780731
0.166667,38,14.816133
0.166667,33,14.846909
0.272727,32,14.876492
0.113636,43,14.916245
0,31,14.945294
55.467172,34,14.977108
0,33,15.007721
51.704545,36,15.041187
0.795455,31,15.07004
50.888889,20,15.089236
55.979798,35,15.121528
0.772727,31,15.151137
0,40,15.188653
0.204545,35,15.222026
55.661616,39,15.259764
0.161616,29,15.287412
0,38,15.322514
0.606061,41,15.361222
0,35,15.394387
0.166667,32,15.424713
53.396465,34,15.456776
1.030303,39,15.493405
0,42,15.532766
53.393939,28,15.558779
0,36,15.592777
0.651515,40,15.630258
0.020202,34,15.66242
1.295455,32,15.692894
51.159091,39,15.729484
0,33,15.759824
0.181818,39,15.796687
0.893939,35,15.829807
55.022727,35,15.863364
0.151515,43,15.90366
51.618687,33,15.935338
0.015152,32,15.965227
0.659091,40,16.004347
50.641414,12,16.016664
1.886364,38,16.053506
0,31,16.082739
0.113636,35,16.116727
52.088384,34,16.148621
0.227273,39,16.185072
0,35,16.218014
0,39,16.254062
0.040404,33,16.284449
1.719697,32,16.314751
0,36,16.34893
0.075758,32,16.378897
0,27,16.403822
0,34,16.436308
51.989899,38,16.472229
0.292929,30,16.500504
0.724747,40,17.60114
0,16,17.616003
50.815657,39,17.65402
0,36,17.687685
0,41,17.725216
2.050505,40,17.763779
0.212121,46,17.80896
0.272727,27,17.834037
0.265152,38,17.869879
52.886364,32,17.899653
0.44697,33,17.9309
52.108586,34,17.962969
52.727273,40,18.000669
0.128788,36,18.034496
0,28,18.062108
0.015152,35,18.094799
0,35,18.126977
51.285354,34,18.159324
0.10101,37,18.19456
0.04798,28,18.220635
50.603535,37,18.254761
0.409091,34,18.286204
0.212121,31,18.314773
1.810606,38,18.350677
1.138889,34,18.382953
0.015152,36,18.416255
0.462121,37,18.450457
0,30,18.478741
0,30,18.507754
52.242424,43,18.548041
0,27,18.573315
0.027778,35,18.605608
0,26,18.629809
2.611111,36,18.662679
1.583333,44,18.704922
54.376263,32,18.734657
0.037879,29,18.761889
54.712121,35,18.794521
0.19697,16,18.809585
0.204545,7,18.817193
0.176768,33,18.847897
0.537879,35,18.880173
0.641414,33,18.911088
53.272727,33,18.941873
53.363636,33,18.974083
0.772727,30,19.003226
0,35,19.036183
50.479798,37,19.070869
52.530303,36,19.105496
0,37,19.139874
0.530303,35,19.173473
50.181818,36,19.20703
0.189394,31,19.236016
0.093434,33,19.266565
0.590909,41,19.304555
0.090909,35,19.337006
51.871212,42,19.375665
0.242424,43,19.415163
0.015152,32,19.44478
51.164141,35,19.477584
0.012626,43,20.726537
0,41,20.767789
50.424242,29,20.795797
50.75,33,20.828303
56.689394,38,20.865718
0.909091,38,20.903631
53.34596,37,20.941539
50.166667,40,20.980525
0.121212,31,21.012894
50.060606,32,21.047338
0,32,21.079675
0.964646,29,21.108121
0.106061,35,21.141686
0.116162,37,21.177439
1.042929,32,21.218641
0,34,21.263261
51.613636,37,21.301803
0.159091,39,21.34391
1.507576,41,21.386992
0,38,21.426826
51.805556,31,21.459178
0.545455,34,21.493884
0.022727,30,21.527856
0,33,21.562603
0.045455,29,21.591769
1.568182,48,21.64341
1.638889,34,21.680462
0.045455,41,21.722645
0,33,21.759166
51.022727,35,21.795716
0.136364,36,21.832706
0.141414,28,21.860669
0.929293,27,21.889128
1.305556,35,21.924864
51.525253,29,21.956756
0,37,21.994925
0.166667,34,22.02988
50.790404,35,22.066781
0.727273,38,22.106077
50.659091,32,22.140266
0.454545,43,22.185789
51.762626,36,22.224279
0,30,22.254004
50.545455,38,22.293707
53.558081,38,22.333802
0.30303,33,22.369802
0,35,22.406153
50.386364,38,22.446028
54.227273,32,22.47949
0,37,22.518211
0.113636,32,22.550664
0.19697,25,22.587919
0.378788,29,22.624984
0.545455,39,22.664142
52.674242,33,22.699205
52.583333,30,22.731106
0.090909,32,22.763367
50.166667,34,22.798532
0.34596,32,22.831075
1.227273,42,22.872619
