#{"t_start": 1638949835.0715876, "env_id": "Rummy-v0"}
r,l,t
0.318182,17,2.610302
50.25,15,2.625774
0.045455,16,2.64216
0,13,2.655692
0,6,2.662033
51.568182,17,2.679574
0,16,2.698491
0,17,2.718849
0,16,2.735657
0.166667,16,2.752418
0.022727,14,2.767536
0,14,2.783076
0.265152,15,2.805551
0,14,2.821978
0.111111,18,2.841847
0,15,2.857803
0,16,2.87538
0,15,2.891342
50.090909,14,2.906406
0,13,2.920338
0.371212,13,2.935006
0,13,2.94903
0,14,2.96459
0,6,2.971279
0.037879,16,2.988334
0,14,3.003056
0,14,3.017764
0,13,3.031431
0.030303,13,3.045488
0.212121,13,3.059464
0.368687,16,3.076471
50.242424,16,3.094111
0,15,3.110103
0,14,3.124797
0,16,3.141572
0,15,3.157267
0.002525,14,3.172498
0,15,3.188239
0,14,3.202599
0.007576,15,3.217959
0,14,3.232451
0,6,3.238639
0,17,3.256478
50.035354,15,3.271842
50.176768,15,3.287387
0,14,3.303716
50.30303,15,3.319236
0,14,3.333767
0,7,3.341139
0,14,3.355555
0,14,3.369893
0,15,3.385133
0,14,3.399475
0,16,3.415777
0,15,3.431189
0,15,3.446584
50.227273,13,3.459914
0,14,3.474247
0,14,3.488546
50.121212,14,3.502922
0,14,3.517118
0,14,3.532752
0,17,3.550429
0,7,3.557569
0,15,3.57513
0,17,3.592766
0,13,3.606335
0.181818,13,3.619782
0,13,3.633575
0.136364,15,3.649126
50.737374,17,3.666639
0.340909,14,3.681307
0.030303,14,3.696095
50.083333,19,3.715868
50.212121,17,3.733418
0,17,3.750806
0,17,3.768043
0,16,3.784374
0,14,3.799075
0,16,3.816228
0,14,3.831275
0,15,3.846915
0.378788,16,3.863564
0.015152,12,3.875849
0,14,3.890193
0,16,3.906545
0,15,3.922016
0.045455,15,3.937354
50.674242,16,3.953623
0,15,3.968897
0,15,3.984272
0.030303,15,3.999412
0,8,4.007523
0,15,4.022518
50.290404,15,4.037528
0,16,4.053742
0,16,4.070047
0.469697,15,4.085457
0,14,4.099533
0.060606,13,4.112817
0,16,4.128882
0,18,4.147089
50.060606,17,4.164031
0,12,4.176274
0,18,4.194429
0,15,4.209558
50.151515,13,4.223077
50.280303,12,4.235384
0,15,4.250431
0,15,4.266001
0,14,4.281283
50.045455,14,4.296008
0,16,4.312505
0,13,4.326105
0,15,4.34208
0,12,4.354642
0,14,4.36904
0,16,4.385344
50.136364,13,4.398654
0,14,4.412989
0,13,4.426232
50.09596,12,4.438409
0.492424,10,4.448604
0,13,4.461884
0.075758,14,4.476204
0,3,4.47937
0.424242,16,4.495866
0,14,4.510846
0,16,4.526921
0,15,4.54207
0,15,4.557407
0.075758,14,4.571794
0.050505,14,4.586191
0,17,4.60387
0,14,4.619502
0,15,4.635166
0,13,4.648685
0,14,4.663264
0,15,4.678948
0.065657,15,4.694557
0,13,4.708074
0,15,4.723556
0,14,4.738079
0.060606,12,5.791511
0.042929,14,5.805884
0,16,5.822025
0,17,5.839351
0,17,5.856605
0.439394,17,5.874207
0.189394,15,5.889444
0.30303,15,5.904624
0.5,15,5.919813
0,15,5.935128
50.416667,6,5.941266
0,16,5.957597
0,16,5.973796
0,11,5.984907
0,16,6.000945
0,16,6.016918
0.166667,16,6.032952
0,13,6.046068
0.075758,16,6.062056
50.04798,4,6.066148
50.484848,14,6.080385
0,16,6.096726
0.416667,14,6.110708
0,16,6.126774
0,12,6.138786
50.068182,15,6.153715
0,14,6.167724
0,15,6.182897
0,13,6.196275
0.416667,14,6.210537
0,16,6.226529
0,6,6.232548
0,12,6.244551
0,14,6.258923
0,15,6.27379
0.045455,15,6.289178
0.045455,18,6.30738
0,14,6.321597
0.022727,15,6.336647
50.45202,13,6.349697
0.015152,15,6.364708
0.030303,14,6.378718
0.492424,19,6.397569
0,13,6.410555
0,15,6.425455
0,13,6.438517
0,16,6.454482
50.19697,14,6.468575
0,16,6.484602
0,16,6.500721
0,16,6.516772
0,11,6.527735
0,18,6.545655
0,18,6.563633
0,16,6.579814
0,16,6.596088
0.090909,12,6.608435
0,16,6.624594
0,17,6.641825
0.363636,13,6.65534
0.035354,19,6.674478
0.083333,11,6.686027
50.431818,16,6.702501
0,17,6.720136
0,13,6.733464
0,16,6.749755
0,6,6.755939
0.409091,13,6.769089
0.156566,14,6.78336
50.037879,16,6.799933
0,13,6.813123
0.151515,15,6.828376
0,17,6.846365
0,13,6.861001
0.55303,14,6.876989
0.143939,19,6.898676
50.409091,17,6.917612
0,15,6.934939
50.19697,16,6.953335
0,15,6.970576
0.295455,16,6.989569
0,16,7.007694
0,16,7.025756
0,16,7.044264
0,15,7.0612
0.068182,14,7.077034
0,14,7.09287
0,14,7.108783
0,15,7.127591
0.151515,15,7.144886
0,16,7.162788
0,15,7.179964
0,14,7.196203
0,14,7.21071
0.090909,18,7.228879
0,13,7.242076
0,16,7.258162
50.931818,14,7.272382
0,16,7.288503
0,14,7.302623
50.151515,15,7.317662
0,17,7.335579
0,16,7.353565
0,15,7.370679
0,17,7.391005
0,16,7.40844
0,15,7.42503
0,15,7.442006
0,14,7.457646
0.015152,17,7.476584
0.207071,17,7.495728
0,15,7.512555
0.05303,17,7.530968
0,14,7.5452
0,14,7.559428
0,15,7.574663
0,16,7.59127
0,17,7.608562
0.343434,16,7.624721
0,17,7.642111
0,16,7.658466
0,19,7.677655
0,18,7.696323
0.371212,14,7.710648
0,15,7.725998
0.318182,16,7.742413
0,14,7.756606
0.308081,14,7.770987
0,16,7.787512
0.037879,15,7.803121
50.515152,14,7.817847
50.075758,17,7.835012
0,17,7.852359
0,12,7.864722
0,16,7.880827
0,14,7.895065
0,14,7.909189
0,17,8.966445
0.063131,13,8.979456
0,2,8.981604
0,14,8.995776
0.090909,17,9.012893
0,18,9.030937
0.260101,15,9.046194
0,15,9.061255
0,18,9.079558
0.227273,13,9.092877
0.045455,13,9.105979
0.045455,14,9.11996
0,16,9.136025
0,15,9.151102
0,13,9.16415
0,16,9.180153
0,15,9.195405
0,16,9.211318
0.022727,16,9.227262
0.166667,17,9.244153
0,3,9.247276
0,17,9.264485
0,14,9.278472
50.181818,14,9.292866
0,14,9.307361
0,16,9.32355
0,14,9.337772
50.19697,13,9.350825
0,12,9.363021
0,14,9.376987
0,18,9.395169
0.015152,17,9.416572
0.424242,17,9.440231
50.015152,15,9.45528
0,18,9.473414
0,17,9.490516
0,14,9.5048
0,15,9.520017
0,15,9.536366
0.022727,15,9.551672
0.388889,16,9.568079
0.159091,15,9.583242
0,15,9.599252
0,16,9.615894
0.007576,14,9.630141
0,15,9.64539
0,15,9.6606
0,16,9.676822
0,15,9.692166
0,17,9.709522
0,14,9.723884
50.037879,16,9.740183
0,14,9.754405
0.113636,15,9.769619
0,15,9.784745
0,15,9.800062
0,15,9.81537
0,15,9.830511
0,14,9.844757
0,17,9.861948
0.181818,15,9.878848
0,16,9.897068
0,13,9.912336
0.098485,16,9.932173
0,16,9.952708
0,17,9.973445
0,14,9.990091
0,16,10.009313
50.318182,12,10.02378
0,15,10.042072
0,14,10.058557
0.44697,16,10.075825
0.022727,19,10.095063
0.05303,14,10.10927
0,13,10.122441
0,14,10.136615
0.073232,18,10.154698
0.113636,14,10.168784
0,16,10.184997
0,12,10.197025
50.305556,17,10.214005
0.204545,15,10.229047
0.060606,15,10.244305
0,14,10.258545
0,14,10.27297
0.141414,17,10.289909
0,14,10.304047
0.30303,16,10.320408
0,15,10.335378
50.424242,18,10.353307
0,15,10.368247
0.045455,10,10.378227
0,14,10.392187
0,13,10.405141
0,18,10.423157
0.272727,19,10.442048
0.015152,14,10.456391
0,13,10.469416
0,17,10.486689
0,14,10.500529
0,13,10.513529
0,15,10.539629
0,14,10.554589
0,14,10.568746
50.484848,19,10.58886
0,13,10.602526
0,13,10.616057
0,4,10.620345
0,14,10.6348
50.325758,15,10.650333
0,14,10.664812
0,13,10.678896
0,14,10.693341
0,13,10.706798
0.060606,13,10.721974
0,14,10.736551
0.073232,15,10.751946
0,13,10.765514
0,16,10.783727
0.068182,15,10.802398
0,15,10.820389
0,17,10.841805
0,14,10.858533
